customer_id,tenant_id,customer_name,age,gender,city,annual_income,tenure_months,engagement_score,risk_score,segment
T1_C68,T1,Customer 68,31,M,CityA,31518,91,3.29,78.91,Family Builder
T1_C69,T1,Customer 69,39,F,CityA,46469,75,89.02,7.18,Retirement Planner
T1_C70,T1,Customer 70,24,F,CityB,55970,80,97.78,47.81,Working Professional
T1_C71,T1,Customer 71,57,F,CityA,91918,18,97.09,54.92,Young Digital User
T1_C72,T1,Customer 72,21,M,CityB,83121,15,1.57,13.81,Young Digital User
T1_C73,T1,Customer 73,27,F,CityB,92252,27,38.31,72.71,Young Digital User
T1_C74,T1,Customer 74,61,M,CityA,142216,114,28.83,40.54,Wealth Creator
T1_C75,T1,Customer 75,55,Other,CityA,51016,51,61.66,69.62,Wealth Creator
T1_C76,T1,Customer 76,36,Other,CityB,71928,57,7.23,34.7,Family Builder
T1_C77,T1,Customer 77,64,M,CityC,82144,80,26.4,60.92,Family Builder
T1_C78,T1,Customer 78,22,F,CityC,105125,78,92.67,34.54,Family Builder
T1_C79,T1,Customer 79,35,F,CityC,115135,14,93.78,39.07,Young Digital User
T1_C80,T1,Customer 80,49,M,CityA,57250,65,3.64,85.09,Retirement Planner
T1_C81,T1,Customer 81,36,F,CityA,57139,26,87.55,15.78,Young Digital User
T1_C82,T1,Customer 82,60,F,CityC,134698,35,12.29,96.74,Retirement Planner
T1_C83,T1,Customer 83,70,Other,CityC,105243,36,22.36,76.69,Family Builder
T1_C84,T1,Customer 84,69,M,CityB,72271,89,55.98,16.5,Retirement Planner
T1_C85,T1,Customer 85,19,Other,CityA,96674,90,67.66,81.39,Wealth Creator
T1_C86,T1,Customer 86,25,M,CityC,104828,9,97.83,81.36,Wealth Creator
T1_C87,T1,Customer 87,36,F,CityC,119131,29,13.65,48.86,Wealth Creator
T1_C88,T1,Customer 88,44,Other,CityC,126358,1,42.54,6.61,Retirement Planner
T1_C89,T1,Customer 89,55,M,CityA,85698,83,97.31,84.69,Young Digital User
T1_C90,T1,Customer 90,70,Other,CityA,88545,82,26.78,62.86,Retirement Planner
T1_C91,T1,Customer 91,67,M,CityA,97142,10,83.24,71.82,Family Builder
T1_C92,T1,Customer 92,18,Other,CityC,118594,106,52.59,54.91,Family Builder
T1_C93,T1,Customer 93,38,Other,CityA,45861,24,89.45,67.2,Wealth Creator
T1_C94,T1,Customer 94,70,F,CityA,65680,9,28.48,31.54,Retirement Planner
T1_C95,T1,Customer 95,66,F,CityC,121410,44,91.77,26.49,Retirement Planner
T1_C96,T1,Customer 96,49,M,CityC,122982,85,90.85,52.81,Retirement Planner
T1_C97,T1,Customer 97,24,M,CityA,87679,49,5.44,74.86,Working Professional
T1_C98,T1,Customer 98,42,Other,CityA,36975,86,8.05,65.54,Wealth Creator
T1_C99,T1,Customer 99,36,Other,CityC,46259,112,1.43,60.04,Retirement Planner
T1_C100,T1,Customer 100,60,M,CityB,52266,56,4.6,12.27,Retirement Planner
T1_C101,T1,Customer 101,35,F,CityB,114505,117,53.34,95.41,Family Builder
T1_C102,T1,Customer 102,67,F,CityA,142215,7,83.67,17.41,Family Builder
T1_C103,T1,Customer 103,18,M,CityC,103169,106,61.91,80.56,Young Digital User
T1_C104,T1,Customer 104,47,Other,CityB,96145,25,90.96,31.29,Family Builder
T1_C105,T1,Customer 105,70,Other,CityC,64992,79,69.87,9.76,Family Builder
T1_C106,T1,Customer 106,39,Other,CityA,134198,104,54.72,42.42,Working Professional
T1_C107,T1,Customer 107,70,F,CityA,125506,75,3.47,21.05,Working Professional
T1_C108,T1,Customer 108,48,Other,CityA,89166,31,95.33,6.2,Wealth Creator
T1_C109,T1,Customer 109,58,M,CityB,120203,15,36.02,48.66,Working Professional
T1_C110,T1,Customer 110,30,Other,CityA,49695,109,98.02,33.39,Young Digital User
T1_C111,T1,Customer 111,23,M,CityA,46540,30,15.41,79.47,Young Digital User
T1_C112,T1,Customer 112,55,F,CityA,128364,107,73.56,62.59,Family Builder
T1_C113,T1,Customer 113,60,Other,CityC,55291,109,35.07,87.22,Wealth Creator
T1_C114,T1,Customer 114,59,Other,CityB,132605,70,58.85,49.8,Family Builder
T1_C115,T1,Customer 115,60,M,CityB,121879,70,36.25,5.32,Family Builder
T1_C116,T1,Customer 116,50,M,CityA,131782,43,67.69,61.69,Wealth Creator
T1_C117,T1,Customer 117,19,M,CityA,93757,94,55.66,53.52,Young Digital User
T1_C118,T1,Customer 118,33,F,CityB,74533,20,36.77,29.38,Working Professional
T1_C119,T1,Customer 119,53,F,CityC,85270,107,9.95,94.7,Retirement Planner
T1_C120,T1,Customer 120,34,F,CityC,35395,12,48.23,74.7,Young Digital User
T1_C121,T1,Customer 121,68,M,CityC,70112,109,80.76,85.49,Wealth Creator
T1_C122,T1,Customer 122,35,Other,CityC,33057,93,11.44,49.6,Working Professional
T1_C123,T1,Customer 123,46,M,CityA,106939,83,25.83,52.5,Retirement Planner
T1_C124,T1,Customer 124,38,M,CityA,63633,117,60.95,52.9,Family Builder
T1_C125,T1,Customer 125,51,F,CityC,105615,36,54.85,37.51,Family Builder
T1_C126,T1,Customer 126,30,Other,CityA,145622,8,66.03,35.26,Family Builder
T1_C127,T1,Customer 127,47,Other,CityC,84919,7,59.61,0.6,Young Digital User
T1_C128,T1,Customer 128,47,M,CityB,146400,83,84.64,2.58,Young Digital User
T1_C129,T1,Customer 129,46,Other,CityB,133709,26,72.7,24.87,Working Professional
T1_C130,T1,Customer 130,21,F,CityB,108274,12,4.61,3.5,Wealth Creator
T1_C131,T1,Customer 131,24,F,CityC,145174,93,13.59,14.36,Retirement Planner
T1_C132,T1,Customer 132,35,F,CityC,116664,42,2.8,64.2,Young Digital User
T1_C133,T1,Customer 133,42,F,CityC,137099,78,98.18,32.12,Working Professional
T1_C134,T1,Customer 134,70,M,CityC,115932,26,83.49,2.82,Working Professional
T1_C135,T1,Customer 135,43,Other,CityA,88204,11,73.5,10.29,Young Digital User
T1_C136,T1,Customer 136,54,F,CityA,73705,41,4.58,68.59,Wealth Creator
T1_C137,T1,Customer 137,52,M,CityC,41786,118,11.95,20.76,Retirement Planner
T1_C138,T1,Customer 138,56,M,CityA,73766,19,75.11,32.08,Family Builder
T1_C139,T1,Customer 139,39,Other,CityB,113162,13,91.27,35.69,Retirement Planner
T1_C140,T1,Customer 140,58,M,CityB,40457,89,79.72,11.37,Wealth Creator
T1_C141,T1,Customer 141,18,F,CityB,42269,26,16.5,58.58,Family Builder
T1_C142,T1,Customer 142,41,F,CityC,74361,75,0.22,44.43,Wealth Creator
T1_C143,T1,Customer 143,27,Other,CityC,80011,28,87.59,85.68,Retirement Planner
T1_C144,T1,Customer 144,45,Other,CityA,60608,78,87.92,32.0,Retirement Planner
T1_C145,T1,Customer 145,20,M,CityB,34733,96,12.07,65.74,Retirement Planner
T1_C146,T1,Customer 146,42,M,CityB,111809,40,25.9,74.99,Retirement Planner
T1_C147,T1,Customer 147,22,F,CityC,110436,85,96.12,21.84,Wealth Creator
T1_C148,T1,Customer 148,48,Other,CityA,109724,73,26.09,7.73,Family Builder
T1_C149,T1,Customer 149,51,M,CityC,148211,79,17.88,35.11,Family Builder
T1_C150,T1,Customer 150,34,Other,CityC,47140,108,92.71,22.71,Family Builder
T1_C151,T1,Customer 151,60,M,CityC,62223,10,70.38,67.33,Young Digital User
T1_C152,T1,Customer 152,50,F,CityB,140417,1,17.12,33.75,Wealth Creator
T1_C153,T1,Customer 153,63,F,CityC,122252,87,65.18,90.85,Retirement Planner
T1_C154,T1,Customer 154,61,M,CityA,52874,79,96.29,2.16,Family Builder
T1_C155,T1,Customer 155,27,Other,CityC,79804,104,94.32,4.08,Wealth Creator
T1_C156,T1,Customer 156,70,Other,CityA,148560,83,57.19,43.1,Wealth Creator
T1_C157,T1,Customer 157,34,Other,CityB,38757,81,0.61,6.29,Retirement Planner
T1_C158,T1,Customer 158,60,F,CityC,68948,102,51.06,29.03,Retirement Planner
T1_C159,T1,Customer 159,23,Other,CityC,109619,18,39.88,12.64,Family Builder
T1_C160,T1,Customer 160,29,F,CityC,147088,88,14.33,74.55,Family Builder
T1_C161,T1,Customer 161,56,M,CityB,65493,110,29.45,85.53,Working Professional
T1_C162,T1,Customer 162,32,Other,CityA,80277,56,88.66,77.61,Family Builder
T1_C163,T1,Customer 163,43,F,CityC,50547,98,69.33,15.46,Retirement Planner
T1_C164,T1,Customer 164,41,Other,CityB,34161,13,47.82,23.83,Young Digital User
T1_C165,T1,Customer 165,60,M,CityC,82784,105,98.42,75.04,Working Professional
T1_C166,T1,Customer 166,67,Other,CityB,143709,59,27.07,82.78,Retirement Planner
T1_C167,T1,Customer 167,59,Other,CityC,80722,30,3.13,8.88,Wealth Creator
T1_C168,T1,Customer 168,26,M,CityC,40885,78,35.82,56.66,Family Builder
T1_C169,T1,Customer 169,48,M,CityC,90944,112,1.09,91.96,Young Digital User
T1_C170,T1,Customer 170,42,M,CityC,76043,65,68.85,12.0,Wealth Creator
T1_C171,T1,Customer 171,25,M,CityA,64841,20,95.06,20.68,Family Builder
T1_C172,T1,Customer 172,21,M,CityB,55710,76,78.2,3.01,Working Professional
T1_C173,T1,Customer 173,20,M,CityA,112235,106,87.44,90.91,Working Professional
T1_C174,T1,Customer 174,34,Other,CityC,60981,65,95.4,24.14,Retirement Planner
T1_C175,T1,Customer 175,60,F,CityB,142978,65,10.91,77.35,Family Builder
T1_C176,T1,Customer 176,41,F,CityA,91383,15,42.62,75.1,Working Professional
T1_C177,T1,Customer 177,31,F,CityA,116520,7,74.49,46.66,Wealth Creator
T1_C178,T1,Customer 178,22,M,CityA,145141,65,16.75,74.76,Family Builder
T1_C179,T1,Customer 179,54,M,CityB,132211,53,1.69,57.1,Wealth Creator
T1_C180,T1,Customer 180,40,Other,CityC,67551,116,88.0,3.11,Retirement Planner
T1_C181,T1,Customer 181,33,F,CityA,74801,39,76.4,77.07,Young Digital User
T1_C182,T1,Customer 182,22,F,CityB,94996,112,34.08,30.0,Young Digital User
T1_C183,T1,Customer 183,53,M,CityB,60304,46,39.51,44.39,Family Builder
T1_C184,T1,Customer 184,35,F,CityA,96965,86,10.67,59.0,Family Builder
T1_C185,T1,Customer 185,23,M,CityA,90111,76,67.65,54.11,Wealth Creator
T1_C186,T1,Customer 186,64,Other,CityB,108176,92,33.92,39.84,Young Digital User
T1_C187,T1,Customer 187,21,F,CityC,56588,30,71.58,89.85,Family Builder
T1_C188,T1,Customer 188,54,Other,CityC,48640,109,15.36,33.32,Wealth Creator
T1_C189,T1,Customer 189,23,Other,CityA,147032,72,85.56,43.21,Family Builder
T1_C190,T1,Customer 190,29,F,CityA,44336,105,60.93,38.96,Working Professional
T1_C191,T1,Customer 191,28,M,CityC,88492,103,41.69,65.91,Wealth Creator
T1_C192,T1,Customer 192,29,Other,CityB,131472,4,79.23,44.12,Working Professional
T1_C193,T1,Customer 193,61,Other,CityA,49966,75,98.31,14.59,Wealth Creator
T1_C194,T1,Customer 194,64,Other,CityC,63261,64,2.66,37.23,Retirement Planner
T1_C195,T1,Customer 195,37,Other,CityB,121289,101,47.17,94.62,Wealth Creator
T1_C196,T1,Customer 196,41,F,CityC,104274,35,25.16,91.31,Young Digital User
T1_C197,T1,Customer 197,21,Other,CityC,85752,112,47.22,90.14,Young Digital User
T1_C198,T1,Customer 198,53,Other,CityB,40922,98,35.23,96.75,Family Builder
T1_C199,T1,Customer 199,43,Other,CityC,49902,27,24.13,28.97,Wealth Creator
T1_C200,T1,Customer 200,52,Other,CityA,65542,29,66.2,2.71,Working Professional
T1_C201,T1,Customer 201,26,F,CityC,76548,9,23.94,55.75,Working Professional
T1_C202,T1,Customer 202,22,M,CityB,82254,113,40.74,82.99,Young Digital User
T1_C203,T1,Customer 203,61,M,CityA,49673,66,68.33,4.13,Young Digital User
T1_C204,T1,Customer 204,33,M,CityA,142190,71,90.81,45.59,Young Digital User
T1_C205,T1,Customer 205,44,Other,CityB,61912,23,86.24,64.41,Young Digital User
T1_C206,T1,Customer 206,56,M,CityA,114432,8,49.57,47.6,Family Builder
T1_C207,T1,Customer 207,50,F,CityB,76897,81,76.25,30.87,Retirement Planner
T1_C208,T1,Customer 208,23,F,CityA,99403,71,67.71,94.43,Retirement Planner
T1_C209,T1,Customer 209,60,F,CityB,63677,87,29.74,33.46,Wealth Creator
T1_C210,T1,Customer 210,57,Other,CityC,140133,51,61.17,78.88,Retirement Planner
T1_C211,T1,Customer 211,37,M,CityB,109484,68,72.73,32.46,Family Builder
T1_C212,T1,Customer 212,52,Other,CityB,42025,96,3.4,53.49,Young Digital User
T1_C213,T1,Customer 213,70,F,CityA,95108,48,22.12,84.42,Young Digital User
T1_C214,T1,Customer 214,56,F,CityA,145341,98,61.01,26.6,Retirement Planner
T1_C215,T1,Customer 215,52,F,CityA,60656,23,6.13,44.53,Family Builder
T1_C216,T1,Customer 216,36,F,CityA,118089,100,38.0,1.32,Retirement Planner
T1_C217,T1,Customer 217,61,Other,CityB,114842,79,52.08,90.82,Retirement Planner
T1_C218,T1,Customer 218,28,Other,CityA,146942,31,59.8,39.87,Working Professional
T1_C219,T1,Customer 219,42,M,CityB,100836,78,43.22,83.84,Young Digital User
T1_C220,T1,Customer 220,62,M,CityB,118144,85,65.52,70.45,Retirement Planner
T1_C221,T1,Customer 221,58,F,CityB,34452,62,52.44,13.87,Young Digital User
T1_C222,T1,Customer 222,46,Other,CityA,129878,16,34.89,70.58,Wealth Creator
T1_C223,T1,Customer 223,35,M,CityC,50686,94,62.94,64.04,Working Professional
T1_C224,T1,Customer 224,48,F,CityC,81616,93,8.98,2.95,Wealth Creator
T1_C225,T1,Customer 225,24,M,CityB,107802,2,6.67,75.03,Retirement Planner
T1_C226,T1,Customer 226,25,F,CityC,48296,99,88.57,54.69,Family Builder
T1_C227,T1,Customer 227,51,M,CityC,99304,80,39.26,33.43,Retirement Planner
T1_C228,T1,Customer 228,50,M,CityC,61222,27,94.25,10.02,Family Builder
T1_C229,T1,Customer 229,59,M,CityB,33543,82,3.65,8.8,Young Digital User
T1_C230,T1,Customer 230,53,M,CityC,110114,33,12.35,27.11,Family Builder
T1_C231,T1,Customer 231,18,M,CityA,49741,65,41.9,68.43,Wealth Creator
T1_C232,T1,Customer 232,63,Other,CityA,141295,44,88.41,37.44,Wealth Creator
T1_C233,T1,Customer 233,62,Other,CityA,30558,87,20.41,4.17,Wealth Creator
T1_C234,T1,Customer 234,30,Other,CityC,53842,83,16.68,86.68,Wealth Creator
T1_C235,T1,Customer 235,24,F,CityA,129868,18,7.32,29.81,Retirement Planner
T1_C236,T1,Customer 236,34,F,CityC,35370,53,10.79,8.1,Retirement Planner
T1_C237,T1,Customer 237,38,M,CityB,148320,49,41.06,54.35,Family Builder
T1_C238,T1,Customer 238,24,F,CityA,114497,18,53.83,86.28,Retirement Planner
T1_C239,T1,Customer 239,23,F,CityC,148516,18,61.08,41.73,Wealth Creator
T1_C240,T1,Customer 240,35,M,CityB,135570,97,86.37,33.4,Wealth Creator
T1_C241,T1,Customer 241,57,M,CityC,99133,27,76.53,66.17,Wealth Creator
T1_C242,T1,Customer 242,32,M,CityA,97522,10,42.6,74.81,Retirement Planner
T1_C243,T1,Customer 243,40,F,CityB,53634,12,84.99,47.69,Retirement Planner
T1_C244,T1,Customer 244,46,F,CityA,126576,119,29.84,59.78,Retirement Planner
T1_C245,T1,Customer 245,32,F,CityC,134318,59,39.7,86.83,Family Builder
T1_C246,T1,Customer 246,67,Other,CityC,149910,50,25.23,65.61,Young Digital User
T1_C247,T1,Customer 247,55,F,CityB,105949,49,26.38,89.15,Wealth Creator
T1_C248,T1,Customer 248,39,F,CityB,38207,103,63.38,23.33,Young Digital User
T1_C249,T1,Customer 249,53,M,CityB,136562,81,54.6,34.03,Retirement Planner
T1_C250,T1,Customer 250,66,F,CityA,58736,69,83.44,60.9,Retirement Planner
T1_C251,T1,Customer 251,67,Other,CityC,47091,70,31.59,63.75,Wealth Creator
T1_C252,T1,Customer 252,44,F,CityC,119132,94,69.28,15.7,Young Digital User
T1_C253,T1,Customer 253,28,Other,CityC,140017,60,31.9,35.3,Retirement Planner
T1_C254,T1,Customer 254,24,M,CityA,75247,34,19.34,89.32,Young Digital User
T1_C255,T1,Customer 255,46,M,CityB,109810,80,30.34,48.96,Family Builder
T1_C256,T1,Customer 256,56,M,CityB,90691,79,82.99,14.2,Working Professional
T1_C257,T1,Customer 257,63,Other,CityA,118960,101,45.41,2.0,Wealth Creator
T1_C258,T1,Customer 258,21,Other,CityB,30756,37,88.39,14.24,Working Professional
T1_C259,T1,Customer 259,18,M,CityC,138198,69,44.08,37.88,Working Professional
T1_C260,T1,Customer 260,36,M,CityA,30210,1,2.22,0.45,Family Builder
T1_C261,T1,Customer 261,18,Other,CityA,130614,7,17.06,14.33,Wealth Creator
T1_C262,T1,Customer 262,66,F,CityB,59745,4,5.09,33.82,Retirement Planner
T1_C263,T1,Customer 263,43,M,CityB,75827,10,19.08,47.72,Family Builder
T1_C264,T1,Customer 264,39,F,CityC,65107,67,76.96,83.36,Retirement Planner
T1_C265,T1,Customer 265,22,F,CityB,96197,36,6.64,36.12,Family Builder
T1_C266,T1,Customer 266,48,F,CityA,45898,102,56.58,21.5,Retirement Planner
T1_C267,T1,Customer 267,29,F,CityC,37244,116,97.09,53.83,Working Professional
T1_C268,T1,Customer 268,26,F,CityC,67644,118,84.96,93.09,Young Digital User
T1_C269,T1,Customer 269,67,M,CityB,102243,47,28.41,24.95,Family Builder
T1_C270,T1,Customer 270,64,M,CityA,78278,9,74.29,46.05,Working Professional
T1_C271,T1,Customer 271,66,M,CityB,105429,86,41.21,30.42,Family Builder
T1_C272,T1,Customer 272,51,M,CityA,89894,61,98.56,47.14,Retirement Planner
T1_C273,T1,Customer 273,30,M,CityA,122779,85,77.37,55.96,Family Builder
T1_C274,T1,Customer 274,58,Other,CityB,73618,54,74.01,82.37,Family Builder
T1_C275,T1,Customer 275,35,Other,CityA,60565,23,72.81,4.21,Working Professional
T1_C276,T1,Customer 276,34,M,CityB,100800,31,59.37,2.38,Family Builder
T1_C277,T1,Customer 277,26,Other,CityB,107391,4,93.88,75.7,Working Professional
T1_C278,T1,Customer 278,44,Other,CityB,103509,74,85.26,22.2,Retirement Planner
T1_C279,T1,Customer 279,20,Other,CityA,96893,90,50.56,74.94,Wealth Creator
T1_C280,T1,Customer 280,68,Other,CityB,78278,105,3.81,52.17,Wealth Creator
T1_C281,T1,Customer 281,18,Other,CityB,128663,26,79.79,97.43,Wealth Creator
T1_C282,T1,Customer 282,38,M,CityC,72858,45,32.31,48.33,Wealth Creator
T1_C283,T1,Customer 283,27,F,CityB,53104,100,49.96,43.21,Retirement Planner
T1_C284,T1,Customer 284,57,M,CityC,93355,24,71.45,32.58,Young Digital User
T1_C285,T1,Customer 285,30,Other,CityB,30259,57,56.99,11.58,Retirement Planner
T1_C286,T1,Customer 286,43,F,CityB,103772,37,43.52,65.53,Young Digital User
T1_C287,T1,Customer 287,55,F,CityA,73703,23,2.0,87.13,Family Builder
T1_C288,T1,Customer 288,55,Other,CityC,56848,4,73.39,44.55,Working Professional
T1_C289,T1,Customer 289,41,Other,CityB,109415,39,51.66,49.47,Retirement Planner
T1_C290,T1,Customer 290,49,F,CityA,34323,44,54.31,64.88,Working Professional
T1_C291,T1,Customer 291,68,F,CityB,145297,69,33.82,26.36,Wealth Creator
T1_C292,T1,Customer 292,50,F,CityB,128592,77,8.82,68.92,Working Professional
T1_C293,T1,Customer 293,48,M,CityA,147863,29,16.29,39.36,Family Builder
T1_C294,T1,Customer 294,42,M,CityB,139591,14,98.15,49.74,Retirement Planner
T1_C295,T1,Customer 295,25,F,CityC,58281,77,25.07,76.74,Wealth Creator
T1_C296,T1,Customer 296,55,F,CityA,106046,30,1.46,85.3,Family Builder
T1_C297,T1,Customer 297,35,M,CityA,91425,55,62.45,33.32,Working Professional
T1_C298,T1,Customer 298,31,Other,CityB,107289,11,38.21,95.79,Wealth Creator
T1_C299,T1,Customer 299,56,M,CityB,51915,43,67.16,9.09,Young Digital User
T1_C300,T1,Customer 300,24,M,CityB,53144,36,36.18,42.27,Wealth Creator
T1_C301,T1,Customer 301,48,F,CityB,74629,58,69.09,4.56,Young Digital User
T1_C302,T1,Customer 302,28,F,CityC,125867,70,57.0,8.62,Working Professional
T1_C303,T1,Customer 303,42,M,CityB,125518,106,4.73,33.34,Young Digital User
T1_C304,T1,Customer 304,21,Other,CityA,90131,85,43.0,94.56,Young Digital User
T1_C305,T1,Customer 305,42,Other,CityB,66673,65,64.21,7.16,Young Digital User
T1_C306,T1,Customer 306,27,Other,CityA,63630,20,3.58,12.26,Retirement Planner
T1_C307,T1,Customer 307,23,Other,CityB,75424,56,61.83,44.55,Young Digital User
T1_C308,T1,Customer 308,20,F,CityB,133579,24,63.96,44.1,Wealth Creator
T1_C309,T1,Customer 309,52,M,CityA,54226,79,58.15,34.61,Young Digital User
T1_C310,T1,Customer 310,36,F,CityA,83160,94,7.11,86.02,Young Digital User
T1_C311,T1,Customer 311,30,M,CityB,141225,23,60.84,60.04,Working Professional
T1_C312,T1,Customer 312,25,F,CityC,136560,60,61.26,56.89,Family Builder
T1_C313,T1,Customer 313,37,Other,CityB,53339,55,61.07,53.45,Wealth Creator
T1_C314,T1,Customer 314,30,Other,CityB,49479,29,50.7,78.39,Working Professional
T1_C315,T1,Customer 315,39,M,CityC,146609,91,35.93,15.68,Family Builder
T1_C316,T1,Customer 316,34,F,CityA,51066,69,86.09,80.47,Young Digital User
T1_C317,T1,Customer 317,63,M,CityC,116027,7,76.35,28.83,Retirement Planner
T1_C318,T1,Customer 318,27,F,CityB,50736,61,65.43,60.09,Wealth Creator
T1_C319,T1,Customer 319,28,Other,CityB,132124,71,54.27,85.11,Working Professional
T1_C320,T1,Customer 320,50,Other,CityA,78089,60,70.91,5.94,Family Builder
